date,member,rideable,count,duration
2020-12-28,member,classic_bike,1972,1697335.0
2020-12-28,casual,electric_bike,347,349269.0
2020-12-28,casual,classic_bike,269,361164.0
2020-12-28,casual,docked_bike,135,413168.0
2020-12-13,member,electric_bike,1120,872098.0
2020-12-13,member,classic_bike,2234,2077491.0
2020-12-13,casual,electric_bike,659,684834.0
2020-12-13,casual,classic_bike,625,1041619.0
2020-12-13,casual,docked_bike,146,414010.0
2020-12-01,member,electric_bike,1298,786422.0
2020-12-01,member,docked_bike,2436,1717607.0
2020-12-01,casual,electric_bike,395,345381.0
2020-12-01,casual,docked_bike,362,518298.0
2020-12-29,member,electric_bike,675,462839.0
2020-12-29,member,classic_bike,1431,1097420.0
2020-12-29,casual,electric_bike,234,199844.0
2020-12-29,casual,docked_bike,83,153488.0
2020-12-29,casual,classic_bike,231,329069.0
2020-12-31,member,electric_bike,738,577824.0
2020-12-31,member,classic_bike,1415,1128714.0
2020-12-31,casual,electric_bike,260,222308.0
2020-12-31,casual,classic_bike,237,452150.0
2020-12-31,casual,docked_bike,78,198412.0
2020-12-24,member,electric_bike,562,345769.0
2020-12-24,member,classic_bike,825,514420.0
2020-12-24,casual,electric_bike,150,112780.0
2020-12-24,casual,classic_bike,93,131671.0
2020-12-24,casual,docked_bike,23,21968.0
2020-12-30,member,electric_bike,507,344121.0
2020-12-30,member,classic_bike,1030,774705.0
2020-12-30,casual,electric_bike,148,155211.0
2020-12-30,casual,classic_bike,125,232229.0
2020-12-30,casual,docked_bike,40,79997.0
2020-12-20,member,classic_bike,1923,1608712.0
2020-12-20,member,electric_bike,1054,858035.0
2020-12-20,casual,electric_bike,572,655917.0
2020-12-20,casual,classic_bike,572,963205.0
2020-12-20,casual,docked_bike,217,769361.0
2020-12-25,member,electric_bike,258,192030.0
2020-12-25,member,classic_bike,337,256920.0
2020-12-25,casual,electric_bike,106,118628.0
2020-12-25,casual,classic_bike,103,259821.0
2020-12-25,casual,docked_bike,60,127275.0
2020-12-08,member,electric_bike,1275,839064.0
2020-12-08,member,classic_bike,2632,1911440.0
2020-12-08,casual,electric_bike,403,380006.0
2020-12-08,casual,classic_bike,336,315412.0
2020-12-08,casual,docked_bike,69,118426.0
2020-12-16,member,electric_bike,1119,782367.0
2020-12-16,member,classic_bike,2010,1374862.0
2020-12-16,casual,electric_bike,358,280211.0
2020-12-16,casual,classic_bike,249,295421.0
2020-12-16,casual,docked_bike,58,182142.0
2020-12-17,member,classic_bike,2132,1556178.0
2020-12-17,member,electric_bike,1162,767820.0
2020-12-17,casual,electric_bike,353,313140.0
2020-12-17,casual,docked_bike,68,150163.0
2020-12-17,casual,classic_bike,295,344453.0
2021-01-23,member,electric_bike,947,669894.0
2021-01-23,member,classic_bike,1810,1355923.0
2021-01-23,casual,electric_bike,319,285798.0
2021-01-23,casual,docked_bike,95,216712.0
